EMOTION,PHYSICAL SIGNALS,INTERNAL SENSATIONS,MENTAL RESPONSES,CUES OF ACUTE OR LONG-TERM,CUES OF SUPPRESSED,TOTAL
GRATITUDE,0.03125,0.16666666666666666,0,0.4,0.2,0.09803921568627451
ANNOYANCE,0.18421052631578946,0.25,0.2,0.125,0,0.16129032258064516
ANXIETY,0.23529411764705882,0.3333333333333333,0,0.375,0.14285714285714285,0.23076923076923078
REGRET,0.1875,0.3333333333333333,0.1111111111111111,0.26666666666666666,0,0.19402985074626866
DISBELIEF,0.18181818181818182,0.2,0,0.25,0.4,0.21666666666666667
RELUCTANCE,0.15384615384615385,0.25,0.14285714285714285,0,0.14285714285714285,0.14754098360655737
UNCERTAINTY,0.02857142857142857,0.3333333333333333,0.1111111111111111,0,0,0.043478260869565216
HAPPINESS,0.027777777777777776,0,0,0.14285714285714285,0,0.02857142857142857
HURT,0.17647058823529413,0.14285714285714285,0,0,0.3333333333333333,0.15789473684210525
SATISFACTION,0.03225806451612903,0,0,0,0,0.018518518518518517
ELATION,0.14285714285714285,0.3333333333333333,0,0.2857142857142857,0,0.14285714285714285
SADNESS,0.17647058823529413,0,0,0.16666666666666666,0.38461538461538464,0.16666666666666666
DOUBT,0.25,0,0,0,0,0.17543859649122806
REMORSE,0.08108108108108109,0.4,0,0.3333333333333333,0.16666666666666666,0.13333333333333333
DISGUST,0.05555555555555555,0,0.25,0,0.2,0.08196721311475409
IRRITATION,0.1935483870967742,0.5714285714285714,0,0.7142857142857143,0.14285714285714285,0.2711864406779661
SYMPATHY,0,0,0,0,0,0.0
SURPRISE/SHOCK,0.09090909090909091,0.375,0.1111111111111111,0,0.2,0.14492753623188406
FEAR,0.06060606060606061,0.11764705882352941,0,0.4,0.2222222222222222,0.14492753623188406
PRIDE,0.06896551724137931,0,0,0.16666666666666666,0,0.058823529411764705
SOMBERNESS,0.06666666666666667,0,0.2,0,0,0.057692307692307696
DEPRESSION,0.1282051282051282,0.2,0.2,0.16666666666666666,0.16666666666666666,0.15151515151515152
SHAME,0.16129032258064516,0,0,0.4,0,0.1774193548387097
DESIRE,0.13333333333333333,0.07692307692307693,0.16666666666666666,0.14285714285714285,0,0.13043478260869565
DENIAL,0.2413793103448276,0,0,0,0.14285714285714285,0.16326530612244897
WORRY,0.14705882352941177,0.5,0.2,0.3333333333333333,0.1111111111111111,0.2028985507246377
RAGE,0.0625,0.1,0,0.36363636363636365,0,0.1
PARANOIA,0.13157894736842105,0.42857142857142855,0.08333333333333333,0.125,0,0.1388888888888889
EMBARRASSMENT,0.25,0.375,0,0.3333333333333333,0.2857142857142857,0.2647058823529412
WARINESS,0.12121212121212122,0.2,0.09090909090909091,0.2,0.2857142857142857,0.14754098360655737
CONTEMPT,0.2857142857142857,0.25,0,0.14285714285714285,0.3333333333333333,0.25
CURIOSITY,0.12121212121212122,0,0,0.2,0.125,0.10909090909090909
DEFEAT,0.17857142857142858,0.1,0,0.2,0.18181818181818182,0.15517241379310345
ANGER,0.1388888888888889,0.3333333333333333,0.125,0.2222222222222222,0.2727272727272727,0.18571428571428572
HATRED,0.1111111111111111,0.2857142857142857,0,0.14285714285714285,0,0.11290322580645161
CONFLICTED,0.023809523809523808,0.8,0,0,0,0.07352941176470588
RELIEF,0.1388888888888889,0.2,0,0.5,0,0.14754098360655737
ADORATION,0.09375,0.2857142857142857,0,0.15384615384615385,0.1111111111111111,0.12121212121212122
INDIFFERENCE,0.05555555555555555,0.5,0,0,0.3333333333333333,0.0784313725490196
LOVE,0.02702702702702703,0.14285714285714285,0,0,0.1111111111111111,0.04225352112676056
DESPERATION,0.15625,0.16666666666666666,0,0.1111111111111111,0.1,0.125
PEACEFULNESS,0.06896551724137931,0,0,0,0,0.03571428571428571
DEFENSIVENESS,0.25,0.16666666666666666,0,0.16666666666666666,0.125,0.203125
ENVY,0.09375,0.16666666666666666,0.2,0,0,0.1016949152542373
