One	CD	One
fine	NN	fine
evening	VBG	even
a	DT	a
young	JJ	young
princess	NN	princess
put	VBD	put
on	IN	on
her	PRP$	her
bonnet	NN	bonnet
and	CC	and
clogs	NNS	clog
,	,	,
and	CC	and
went	VBD	go
out	IN	out
to	TO	to
take	VB	take
a	DT	a
walk	NN	walk
by	IN	by
herself	PRP	herself
in	IN	in
a	DT	a
wood	NN	wood
;	:	;
and	CC	and
when	WRB	when
she	PRP	she
came	VBD	come
to	TO	to
a	DT	a
cool	JJ	cool
spring	NN	spring
of	IN	of
water	NN	water
,	,	,
that	WDT	that
rose	VBD	rise
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
it	PRP	it
,	,	,
she	PRP	she
sat	VBD	sit
herself	PRP	herself
down	RP	down
to	TO	to
rest	VB	rest
a	DT	a
while	NN	while
.	.	.
Now	RB	Now
she	PRP	she
had	VBD	have
a	DT	a
golden	JJ	golden
ball	NN	ball
in	IN	in
her	PRP$	her
hand	NN	hand
,	,	,
which	WDT	which
was	VBD	be
her	PRP	her
favourite	JJ	favourite
plaything	NN	plaything
;	:	;
and	CC	and
she	PRP	she
was	VBD	be
always	RB	always
tossing	VBG	toss
it	PRP	it
up	RP	up
into	IN	into
the	DT	the
air	NN	air
,	,	,
and	CC	and
catching	VBG	catch
it	PRP	it
again	RB	again
as	IN	a
it	PRP	it
fell	VBD	fell
.	.	.
After	IN	After
a	DT	a
time	NN	time
she	PRP	she
threw	VBD	throw
it	PRP	it
up	RP	up
so	RB	so
high	JJ	high
that	IN	that
she	PRP	she
missed	VBD	miss
catching	VBG	catch
it	PRP	it
as	IN	a
it	PRP	it
fell	VBD	fell
;	:	;
and	CC	and
the	DT	the
ball	NN	ball
bounded	VBD	bound
away	RB	away
,	,	,
and	CC	and
rolled	VBD	roll
along	RB	along
upon	IN	upon
the	DT	the
ground	NN	ground
,	,	,
till	NN	till
at	IN	at
last	JJ	last
it	PRP	it
fell	VBD	fell
down	RB	down
into	IN	into
the	DT	the
spring	NN	spring
.	.	.
The	DT	The
princess	NN	princess
looked	VBD	look
into	IN	into
the	DT	the
spring	NN	spring
after	IN	after
her	PRP$	her
ball	NN	ball
,	,	,
but	CC	but
it	PRP	it
was	VBD	be
very	RB	very
deep	JJ	deep
,	,	,
so	RB	so
deep	JJ	deep
that	IN	that
she	PRP	she
could	MD	could
not	RB	not
see	VB	see
the	DT	the
bottom	NN	bottom
of	IN	of
it	PRP	it
