Emotion,Other,Adjective,Adverb,Noun,Verb,Total Words
PRIDE,0.328402366863905,s,0.032544378698225,0.337278106508876,0.183431952662722,338
PEACEFULNESS,0.382352941176471,0.117647058823529,0.037433155080214,0.304812834224599,0.157754010695187,374
DESPERATION,0.315315315315315,0.114114114114114,0.027027027027027,0.318318318318318,0.225225225225225,333
DETERMINATION,0.320634920634921,0.111111111111111,0.028571428571429,0.317460317460317,0.222222222222222,315
PARANOIA,0.319095477386935,0.105527638190955,0.050251256281407,0.329145728643216,0.195979899497487,398
HAPPINESS,0.356608478802992,0.102244389027431,0.034912718204489,0.319201995012469,0.187032418952619,401
SCORN,0.363363363363363,0.102102102102102,0.03003003003003,0.309309309309309,0.195195195195195,333
SOMBERNESS,0.332247557003257,0.100977198697068,0.06514657980456,0.364820846905538,0.136807817589577,307
LOVE,0.354297693920335,0.09853249475891,0.039832285115304,0.333333333333333,0.174004192872117,477
DENIAL,0.338129496402878,0.097122302158273,0.050359712230216,0.248201438848921,0.266187050359712,278
INDIFFERENCE,0.349206349206349,0.092063492063492,0.066666666666667,0.276190476190476,0.215873015873016,315
WORRY,0.336206896551724,0.091954022988506,0.048850574712644,0.344827586206897,0.17816091954023,348
NOSTALGIA,0.412429378531073,0.090395480225989,0.03954802259887,0.274011299435028,0.18361581920904,354
NERVOUSNESS,0.334437086092715,0.089403973509934,0.029801324503311,0.374172185430464,0.172185430463576,302
CONFIDENCE,0.358823529411765,0.088235294117647,0.047058823529412,0.294117647058824,0.211764705882353,340
DISBELIEF,0.346938775510204,0.087463556851312,0.067055393586006,0.274052478134111,0.224489795918367,343
ANGER,0.313253012048193,0.087349397590362,0.02710843373494,0.36144578313253,0.210843373493976,332
DEPRESSION,0.328402366863905,0.085798816568047,0.026627218934911,0.408284023668639,0.150887573964497,338
GRATITUDE,0.363013698630137,0.085616438356164,0.027397260273973,0.325342465753425,0.198630136986301,292
