EMOTION,PHYSICAL SIGNALS,INTERNAL SENSATIONS,MENTAL RESPONSES,CUES OF ACUTE OR LONG-TERM,CUES OF SUPPRESSED,TOTAL
GRATITUDE,31,5,3,3,4,46
ANNOYANCE,31,3,4,7,7,52
ANXIETY,26,6,7,5,6,50
REGRET,26,4,8,11,5,54
DISBELIEF,27,4,4,6,6,47
RELUCTANCE,33,3,6,4,6,52
UNCERTAINTY,34,2,8,9,13,66
HAPPINESS,35,5,10,6,12,68
HURT,28,6,5,5,4,48
SATISFACTION,30,4,11,3,5,53
ELATION,24,2,5,5,6,42
SADNESS,28,11,8,5,8,60
DOUBT,30,1,5,3,8,47
REMORSE,34,3,6,4,5,52
DISGUST,34,6,3,5,8,56
IRRITATION,25,3,7,2,6,43
SYMPATHY,45,4,10,4,5,68
SURPRISE/SHOCK,30,5,16,0,8,59
FEAR,31,15,0,6,7,59
PRIDE,27,2,10,5,4,48
SOMBERNESS,28,4,4,6,7,49
DEPRESSION,34,4,8,5,5,56
SHAME,26,6,8,9,2,51
DESIRE,26,12,10,12,0,60
DENIAL,22,5,4,4,6,41
WORRY,29,2,8,8,8,55
RAGE,30,9,8,7,9,63
PARANOIA,33,4,11,7,7,62
EMBARRASSMENT,30,5,4,6,5,50
WARINESS,29,4,10,4,5,52
CONTEMPT,20,3,5,6,8,42
CURIOSITY,29,2,7,4,7,49
DEFEAT,23,9,4,4,9,49
ANGER,31,4,7,7,8,57
HATRED,32,5,7,6,5,55
CONFLICTED,41,1,21,0,0,63
RELIEF,31,4,6,3,8,52
ADORATION,29,5,5,11,8,58
INDIFFERENCE,34,1,4,6,2,47
LOVE,36,6,9,9,8,68
DESPERATION,27,5,7,8,9,56
PEACEFULNESS,27,6,9,9,3,54
DEFENSIVENESS,30,5,4,5,7,51
ENVY,29,5,8,6,5,53
NOSTALGIA,22,6,4,5,5,42
TERROR,33,9,7,8,2,59
GUILT,30,3,7,8,4,52
DREAD,28,8,3,5,4,48
FRUSTRATION,31,3,5,8,8,55
HOPEFULNESS,24,6,7,4,5,46
SCORN,31,1,4,5,5,46
RESENTMENT,31,5,6,2,2,46
RESIGNATION,30,4,7,4,4,49
SKEPTICISM,30,2,5,7,10,54
NERVOUSNESS,26,5,4,6,4,45
UNEASE,40,4,5,6,7,62
CONFIDENCE,38,2,3,3,5,51
ANTICIPATION,25,3,6,7,8,49
EAGERNESS,33,3,6,4,7,53
IMPATIENCE,34,2,4,9,6,55
HUMILIATION,32,10,4,5,6,57
AGITATION,27,4,6,3,3,43
CONFUSION,33,2,3,6,10,54
LONELINESS,24,2,5,8,5,44
JEALOUSY,24,5,10,10,7,56
EXCITEMENT,31,1,3,4,6,45
DETERMINATION,30,3,9,5,8,55
DISAPPOINTMENT,34,4,4,3,7,52
SMUGNESS,37,0,6,6,3,52
INSECURITY,31,4,7,10,6,58
SUSPICION,29,5,6,5,10,55
AMAZEMENT,23,3,5,3,8,42
ANGUISH,25,2,5,11,12,55
OVERWHELMED,31,4,19,0,0,54
AMUSEMENT,30,4,4,11,8,57
Total,2242,329,493,431,459,3954
