unease -->  nervousness,worry,fear
uncertainty -->  confusion,denial,frustration,unease
eagerness -->  excitement,impatience
regret -->  shame,frustration,depression
humiliation -->  depression,regret,shame,anger,hatred
agitation -->  annoyance,frustration,anxiety,anger
reluctance -->  skepticism,defensiveness,anger,fear,disgust,resentment,dread
wariness -->  anxiety,fear,unease,suspicion
paranoia -->  fear,anger,rage,hatred,desperation
satisfaction -->  happiness,smugness,pride,gratitude
shame -->  depression,humiliation,remorse
irritation -->  frustration,anger
anger -->  rage
hopefulness -->  eagerness,excitement,disappointment
fear -->  anger,terror,paranoia,dread
anguish -->  desperation,depression
overwhelmed -->  anxiety,depression
contempt -->  disgust,scorn,anger
envy -->  determination,resentment,anger,depression,jealousy
gratitude -->  satisfaction,peacefulness,happiness,elation
annoyance -->  frustration,anger
adoration -->  love,desire,frustration,hurt
denial -->  defensiveness,hurt,guilt,anger,conflicted
surprise/shock -->  amazement,happiness,fear,anger,relief,disappointment
impatience -->  irritation,frustration,anger,scorn
disbelief -->  denial,anger,overwhelmed,resignation
desperation -->  terror,dread,anger,determination
insecurity -->  unease,wariness,worry,paranoia
relief -->  happiness,excitement,gratitude
jealousy -->  envy,determination,anger,hatred
nostalgia -->  sadness,depression,happiness
somberness -->  depression,resignation
sympathy -->  sadness,adoration,love,gratitude,nostalgia,worry
elation -->  satisfaction,pride,gratitude
doubt -->  worry,disbelief,unease
remorse -->  shame,regret,determination
amusement -->  happiness,satisfaction
disgust -->  scorn,fear,anger
scorn -->  anger,hatred,elation
suspicion -->  fear,agitation,anger,paranoia
smugness -->  contempt,scorn
pride -->  smugness,contempt,confidence
indifference -->  irritation,annoyance,contempt,resignation
dread -->  anguish,terror
nervousness -->  insecurity,anxiety,fear,dread
skepticism -->  uncertainty,suspicion,resignation,scorn
frustration -->  contempt,anger,impatience
love -->  peacefulness,satisfaction,desire,adoration
confusion -->  overwhelmed,frustration,resignation,insecurity
peacefulness -->  happiness,satisfaction
confidence -->  satisfaction,smugness,contempt
hurt -->  depression,anguish,anger
embarrassment -->  humiliation,depression,regret,shame
anticipation -->  excitement,jealousy,disappointment
determination -->  hopefulness,confidence
curiosity -->  eagerness,amazement,conflicted
terror -->  paranoia,rage
amazement -->  curiosity,disbelief,excitement
resentment -->  anger,hatred,jealousy
hatred -->  paranoia,rage
desire -->  adoration,love,determination,envy,jealousy
anxiety -->  fear,desperation,paranoia
rage -->  paranoia,regret
resignation -->  sadness,disappointment,defeat
loneliness -->  sadness,hurt,depression,resignation
defensiveness -->  anger,fear
excitement -->  satisfaction,happiness,elation,disappointment
sadness -->  nostalgia,depression,loneliness
guilt -->  conflicted,regret,shame,remorse
disappointment -->  depression,defeat,resentment,anger
worry -->  wariness,fear,anxiety,paranoia,dread
defeat -->  resignation,depression,shame,humiliation
happiness -->  elation,gratitude,satisfaction,peacefulness
conflicted -->  confusion,overwhelmed,frustration,anxiety
