screaming	[('RAGE', 'PHYSICAL SIGNALS'), ('DESPERATION', 'CUES OF ACUTE OR LONG-TERM')]	['anger', 'disgust', 'fear', 'negative']
shrugging/shrug	[('DOUBT', 'PHYSICAL SIGNALS'), ('DENIAL', 'PHYSICAL SIGNALS'), ('SKEPTICISM', 'PHYSICAL SIGNALS'), ('DETERMINATION', 'CUES OF SUPPRESSED')]	[]
interrupting/interrupt	[('IRRITATION', 'PHYSICAL SIGNALS'), ('DEFENSIVENESS', 'PHYSICAL SIGNALS')]	['anger', 'negative', 'surprise']
squinting/squint	[('ENVY', 'PHYSICAL SIGNALS')]	[]
criticism	[('JEALOUSY', 'PHYSICAL SIGNALS')]	['anger', 'negative', 'sadness']
swearing	[('IRRITATION', 'CUES OF ACUTE OR LONG-TERM'), ('FRUSTRATION', 'PHYSICAL SIGNALS'), ('FRUSTRATION', 'PHYSICAL SIGNALS'), ('JEALOUSY', 'PHYSICAL SIGNALS')]	[]
shame	[('DEFEAT', 'MENTAL RESPONSES')]	['disgust', 'fear', 'negative', 'sadness']
gossiping/gossip	[('CONTEMPT', 'PHYSICAL SIGNALS')]	['negative']
collapsing/collapse	[('RELIEF', 'CUES OF ACUTE OR LONG-TERM'), ('AMAZEMENT', 'CUES OF ACUTE OR LONG-TERM')]	['disgust', 'fear', 'negative', 'sadness']
complaining/complain	[('ANNOYANCE', 'PHYSICAL SIGNALS'), ('RESENTMENT', 'PHYSICAL SIGNALS')]	['anger', 'negative', 'sadness']
modesty	[('CONFIDENCE', 'CUES OF SUPPRESSED')]	['positive']
drowsiness	[('PEACEFULNESS', 'INTERNAL SENSATIONS')]	['negative']
stuttering/stutter	[('CONFUSION', 'PHYSICAL SIGNALS')]	[]
sighing/sigh	[('UNCERTAINTY', 'PHYSICAL SIGNALS')]	[]
sarcasm	[('IRRITATION', 'CUES OF ACUTE OR LONG-TERM'), ('SCORN', 'PHYSICAL SIGNALS')]	['anger', 'disgust', 'negative', 'sadness']
anxiety	[('GUILT', 'MENTAL RESPONSES')]	['anger', 'anticipation', 'fear', 'negative', 'sadness']
moaning/moan	[('DESPERATION', 'PHYSICAL SIGNALS')]	['fear', 'sadness']
guilt	[('RELUCTANCE', 'MENTAL RESPONSES')]	['disgust', 'negative', 'sadness']
frowning	[('UNCERTAINTY', 'PHYSICAL SIGNALS'), ('IRRITATION', 'PHYSICAL SIGNALS'), ('UNEASE', 'PHYSICAL SIGNALS'), ('IMPATIENCE', 'PHYSICAL SIGNALS'), ('CONFUSION', 'PHYSICAL SIGNALS'), ('DISAPPOINTMENT', 'PHYSICAL SIGNALS')]	['anger', 'disgust', 'negative', 'sadness']
complimenting/compliment	[('GRATITUDE', 'PHYSICAL SIGNALS')]	['anticipation', 'joy', 'positive', 'surprise', 'trust']
confusion	[('WARINESS', 'MENTAL RESPONSES')]	['anger', 'fear', 'negative']
indecision	[('RELUCTANCE', 'MENTAL RESPONSES'), ('UNCERTAINTY', 'MENTAL RESPONSES')]	['negative']
gratitude	[('RELIEF', 'MENTAL RESPONSES')]	['joy', 'positive']
hallucinations/hallucination	[('TERROR', 'CUES OF ACUTE OR LONG-TERM')]	['fear', 'negative']
blushing	[('ADORATION', 'CUES OF SUPPRESSED'), ('GUILT', 'PHYSICAL SIGNALS')]	[]
intimacy	[('LOVE', 'CUES OF ACUTE OR LONG-TERM')]	[]
sweating	[('ELATION', 'PHYSICAL SIGNALS'), ('DENIAL', 'PHYSICAL SIGNALS'), ('PARANOIA', 'PHYSICAL SIGNALS'), ('ANGER', 'PHYSICAL SIGNALS'), ('ANGER', 'INTERNAL SENSATIONS'), ('HATRED', 'PHYSICAL SIGNALS'), ('GUILT', 'PHYSICAL SIGNALS'), ('DREAD', 'PHYSICAL SIGNALS'), ('AGITATION', 'INTERNAL SENSATIONS'), ('CONFUSION', 'INTERNAL SENSATIONS'), ('EXCITEMENT', 'CUES OF ACUTE OR LONG-TERM')]	[]
flinching/flinch	[('PARANOIA', 'PHYSICAL SIGNALS')]	['anticipation', 'disgust', 'fear', 'negative', 'sadness', 'surprise']
restlessness	[('FRUSTRATION', 'PHYSICAL SIGNALS'), ('HOPEFULNESS', 'PHYSICAL SIGNALS')]	['anticipation']
waist	[('WARINESS', 'CUES OF SUPPRESSED')]	[]
worship	[('GRATITUDE', 'CUES OF ACUTE OR LONG-TERM')]	['anticipation', 'fear', 'joy', 'positive', 'trust']
yawning	[('INDIFFERENCE', 'PHYSICAL SIGNALS'), ('DETERMINATION', 'CUES OF SUPPRESSED')]	['negative']
obsession	[('ADORATION', 'CUES OF ACUTE OR LONG-TERM')]	[]
apathy	[('RESIGNATION', 'CUES OF ACUTE OR LONG-TERM')]	['negative', 'sadness']
illness	[('DEPRESSION', 'PHYSICAL SIGNALS'), ('RESENTMENT', 'CUES OF ACUTE OR LONG-TERM')]	['fear', 'negative', 'sadness']
arguing/argue	[('DISBELIEF', 'CUES OF ACUTE OR LONG-TERM'), ('RESENTMENT', 'PHYSICAL SIGNALS')]	['anger', 'negative']
resentment	[('RELUCTANCE', 'CUES OF ACUTE OR LONG-TERM')]	['anger', 'disgust', 'negative', 'sadness']
