EMOTION,PHYSICAL SIGNALS,INTERNAL SENSATIONS,MENTAL RESPONSES,CUES OF ACUTE OR LONG-TERM,CUES OF SUPPRESSED,TOTAL
GRATITUDE,1,0,0,1,0,2
ANNOYANCE,2,0,0,0,0,2
ANXIETY,3,1,0,1,0,5
REGRET,1,1,2,1,0,5
DISBELIEF,0,1,0,1,0,2
RELUCTANCE,2,0,2,1,0,5
UNCERTAINTY,3,0,1,1,1,6
HAPPINESS,2,0,2,1,0,5
HURT,0,1,0,0,0,1
SATISFACTION,2,0,3,1,0,6
ELATION,2,0,0,2,0,4
SADNESS,2,0,0,1,1,4
DOUBT,1,0,0,0,0,1
REMORSE,3,1,0,1,0,5
DISGUST,0,0,0,0,1,1
IRRITATION,2,0,0,3,1,6
SYMPATHY,0,0,1,0,0,1
SURPRISE/SHOCK,1,1,2,0,0,4
FEAR,0,0,0,3,0,3
PRIDE,1,0,0,0,0,1
SOMBERNESS,0,0,0,0,0,0
DEPRESSION,2,1,0,1,1,5
SHAME,1,0,1,2,0,4
DESIRE,1,1,1,0,0,3
DENIAL,2,0,0,0,0,2
WORRY,1,0,2,2,1,6
RAGE,2,0,0,4,0,6
PARANOIA,3,1,0,2,0,6
EMBARRASSMENT,3,1,0,1,1,6
WARINESS,1,0,2,0,3,6
CONTEMPT,3,0,0,0,1,4
CURIOSITY,3,0,0,0,0,3
DEFEAT,0,0,1,1,0,2
ANGER,2,1,2,2,1,8
HATRED,1,1,0,1,0,3
CONFLICTED,0,1,0,0,0,1
RELIEF,1,0,1,2,1,5
ADORATION,1,1,0,4,1,7
INDIFFERENCE,1,0,0,0,0,1
LOVE,0,0,0,1,0,1
DESPERATION,3,0,0,2,2,7
PEACEFULNESS,0,1,0,0,0,1
DEFENSIVENESS,1,0,0,1,0,2
ENVY,4,0,2,0,0,6
NOSTALGIA,0,0,0,1,0,1
TERROR,0,1,1,6,0,8
GUILT,5,0,1,6,1,13
DREAD,1,2,0,2,0,5
FRUSTRATION,3,0,0,0,0,3
HOPEFULNESS,2,0,0,3,0,5
SCORN,1,0,3,0,0,4
RESENTMENT,5,0,1,2,0,8
RESIGNATION,1,0,0,2,0,3
SKEPTICISM,1,0,1,2,0,4
NERVOUSNESS,3,3,0,3,0,9
UNEASE,1,0,1,1,0,3
CONFIDENCE,2,0,0,0,1,3
ANTICIPATION,2,1,1,0,0,4
EAGERNESS,0,1,0,0,0,1
IMPATIENCE,3,1,0,0,0,4
HUMILIATION,1,1,1,0,0,3
AGITATION,1,2,0,0,0,3
CONFUSION,4,1,0,0,1,6
LONELINESS,1,2,0,0,0,3
JEALOUSY,3,0,0,0,0,3
EXCITEMENT,2,1,1,1,0,5
DETERMINATION,0,0,0,1,2,3
DISAPPOINTMENT,1,0,1,0,0,2
SMUGNESS,1,0,1,0,0,2
INSECURITY,1,0,0,0,1,2
SUSPICION,2,0,0,1,0,3
AMAZEMENT,0,0,3,1,0,4
ANGUISH,1,1,0,3,1,6
OVERWHELMED,1,1,6,0,0,8
AMUSEMENT,0,0,0,1,0,1
