Emotion,Other,Adjective,Adverb,Noun,Verb,Total Words
GRATITUDE,0.363013698630137,0.08561643835616438,0.0273972602739726,0.3253424657534247,0.19863013698630136,292
ANNOYANCE,0.3684210526315789,0.05,0.06578947368421052,0.2894736842105263,0.22631578947368422,380
ANXIETY,0.31125827814569534,0.08278145695364239,0.03642384105960265,0.34105960264900664,0.22847682119205298,302
REGRET,0.3757062146892655,0.08192090395480225,0.03389830508474576,0.3135593220338983,0.19491525423728814,354
DISBELIEF,0.3469387755102041,0.08746355685131195,0.06705539358600583,0.27405247813411077,0.22448979591836735,343
RELUCTANCE,0.36033519553072624,0.06424581005586592,0.07262569832402235,0.276536312849162,0.22625698324022347,358
UNCERTAINTY,0.38657407407407407,0.06018518518518518,0.03009259259259259,0.30324074074074076,0.2199074074074074,432
HAPPINESS,0.3566084788029925,0.10224438902743142,0.034912718204488775,0.3192019950124688,0.18703241895261846,401
HURT,0.36451612903225805,0.04516129032258064,0.05806451612903226,0.2903225806451613,0.24193548387096775,310
SATISFACTION,0.3856655290102389,0.07849829351535836,0.051194539249146756,0.3242320819112628,0.16040955631399317,293
ELATION,0.38006230529595014,0.06542056074766354,0.04672897196261682,0.27414330218068533,0.2336448598130841,321
SADNESS,0.3474576271186441,0.07062146892655367,0.031073446327683617,0.3502824858757062,0.20056497175141244,354
DOUBT,0.36795252225519287,0.06824925816023739,0.04747774480712166,0.2818991097922849,0.2344213649851632,337
REMORSE,0.36666666666666664,0.06060606060606061,0.06363636363636363,0.3151515151515151,0.19393939393939394,330
DISGUST,0.34173669467787116,0.07563025210084033,0.07282913165266107,0.27170868347338933,0.23809523809523808,357
IRRITATION,0.3659942363112392,0.05475504322766571,0.05187319884726225,0.2881844380403458,0.23919308357348704,347
SYMPATHY,0.4176991150442478,0.07787610619469026,0.049557522123893805,0.25486725663716814,0.2,565
SURPRISE/SHOCK,0.40186915887850466,0.0630841121495327,0.035046728971962614,0.29906542056074764,0.20093457943925233,428
FEAR,0.36455696202531646,0.07341772151898734,0.0379746835443038,0.3392405063291139,0.1848101265822785,395
PRIDE,0.32840236686390534,0.11834319526627218,0.03254437869822485,0.33727810650887574,0.1834319526627219,338
SOMBERNESS,0.3322475570032573,0.10097719869706841,0.06514657980456026,0.36482084690553745,0.13680781758957655,307
DEPRESSION,0.32840236686390534,0.08579881656804733,0.026627218934911243,0.40828402366863903,0.15088757396449703,338
SHAME,0.3723404255319149,0.07712765957446809,0.02925531914893617,0.31648936170212766,0.2047872340425532,376
DESIRE,0.3613053613053613,0.0675990675990676,0.03496503496503497,0.2913752913752914,0.24475524475524477,429
DENIAL,0.3381294964028777,0.09712230215827339,0.050359712230215826,0.24820143884892087,0.26618705035971224,278
WORRY,0.33620689655172414,0.09195402298850575,0.04885057471264368,0.3448275862068966,0.1781609195402299,348
RAGE,0.33513513513513515,0.062162162162162166,0.04594594594594595,0.3324324324324324,0.22432432432432434,370
PARANOIA,0.31909547738693467,0.10552763819095477,0.05025125628140704,0.32914572864321606,0.19597989949748743,398
EMBARRASSMENT,0.3872832369942196,0.046242774566473986,0.04335260115606936,0.2947976878612717,0.22832369942196531,346
WARINESS,0.3685800604229607,0.0755287009063444,0.04229607250755287,0.2990936555891239,0.21450151057401812,331
CONTEMPT,0.3153846153846154,0.08076923076923077,0.07307692307692308,0.2846153846153846,0.24615384615384617,260
CURIOSITY,0.41379310344827586,0.05747126436781609,0.031609195402298854,0.2442528735632184,0.25287356321839083,348
DEFEAT,0.3283582089552239,0.06716417910447761,0.03731343283582089,0.3582089552238806,0.208955223880597,268
ANGER,0.3132530120481928,0.08734939759036145,0.02710843373493976,0.3614457831325301,0.21084337349397592,332
HATRED,0.38701298701298703,0.06753246753246753,0.023376623376623377,0.3168831168831169,0.2051948051948052,385
CONFLICTED,0.37339055793991416,0.07510729613733906,0.032188841201716736,0.30257510729613735,0.2167381974248927,466
RELIEF,0.3619631901840491,0.0705521472392638,0.05521472392638037,0.294478527607362,0.21779141104294478,326
ADORATION,0.3421828908554572,0.061946902654867256,0.02654867256637168,0.37168141592920356,0.1976401179941003,339
INDIFFERENCE,0.3492063492063492,0.09206349206349207,0.06666666666666667,0.2761904761904762,0.21587301587301588,315
LOVE,0.35429769392033544,0.09853249475890985,0.039832285115303984,0.3333333333333333,0.1740041928721174,477
DESPERATION,0.3153153153153153,0.11411411411411411,0.02702702702702703,0.3183183183183183,0.22522522522522523,333
PEACEFULNESS,0.38235294117647056,0.11764705882352941,0.0374331550802139,0.3048128342245989,0.15775401069518716,374
DEFENSIVENESS,0.3384615384615385,0.06461538461538462,0.04923076923076923,0.3384615384615385,0.20923076923076922,325
ENVY,0.38688524590163936,0.04262295081967213,0.04262295081967213,0.28852459016393445,0.23934426229508196,305
NOSTALGIA,0.4124293785310734,0.0903954802259887,0.03954802259887006,0.2740112994350282,0.18361581920903955,354
TERROR,0.38443396226415094,0.049528301886792456,0.05188679245283019,0.33254716981132076,0.18160377358490565,424
GUILT,0.35106382978723405,0.05851063829787234,0.05319148936170213,0.29521276595744683,0.24202127659574468,376
DREAD,0.37341772151898733,0.06962025316455696,0.04113924050632911,0.29430379746835444,0.22151898734177214,316
FRUSTRATION,0.3744186046511628,0.08372093023255814,0.03953488372093023,0.27674418604651163,0.2255813953488372,430
HOPEFULNESS,0.370253164556962,0.06329113924050633,0.05379746835443038,0.3069620253164557,0.20569620253164558,316
SCORN,0.3633633633633634,0.1021021021021021,0.03003003003003003,0.30930930930930933,0.19519519519519518,333
RESENTMENT,0.3651877133105802,0.06825938566552901,0.03754266211604096,0.34812286689419797,0.18088737201365188,293
RESIGNATION,0.38,0.08,0.043333333333333335,0.30666666666666664,0.19,300
SKEPTICISM,0.3801452784503632,0.07506053268765134,0.03389830508474576,0.3220338983050847,0.18886198547215496,413
NERVOUSNESS,0.3344370860927152,0.08940397350993377,0.029801324503311258,0.3741721854304636,0.17218543046357615,302
UNEASE,0.3752913752913753,0.07692307692307693,0.07692307692307693,0.26107226107226106,0.2097902097902098,429
CONFIDENCE,0.3588235294117647,0.08823529411764706,0.047058823529411764,0.29411764705882354,0.21176470588235294,340
ANTICIPATION,0.38328530259365995,0.05475504322766571,0.04610951008645533,0.29394812680115273,0.2219020172910663,347
EAGERNESS,0.334375,0.078125,0.053125,0.3,0.234375,320
IMPATIENCE,0.38875305623471884,0.05134474327628362,0.05378973105134474,0.2616136919315403,0.24449877750611246,409
HUMILIATION,0.3423728813559322,0.04406779661016949,0.03389830508474576,0.3864406779661017,0.19322033898305085,295
AGITATION,0.3764705882352941,0.047058823529411764,0.04411764705882353,0.29411764705882354,0.23823529411764705,340
CONFUSION,0.3230769230769231,0.08,0.036923076923076927,0.31384615384615383,0.24615384615384617,325
LONELINESS,0.38746438746438744,0.07692307692307693,0.037037037037037035,0.3190883190883191,0.1794871794871795,351
JEALOUSY,0.3864734299516908,0.07246376811594203,0.03864734299516908,0.30434782608695654,0.19806763285024154,414
EXCITEMENT,0.3694915254237288,0.0576271186440678,0.03728813559322034,0.31864406779661014,0.21694915254237288,295
DETERMINATION,0.32063492063492066,0.1111111111111111,0.02857142857142857,0.31746031746031744,0.2222222222222222,315
DISAPPOINTMENT,0.3496932515337423,0.05521472392638037,0.046012269938650305,0.31901840490797545,0.23006134969325154,326
SMUGNESS,0.42152466367713004,0.07399103139013453,0.03587443946188341,0.2937219730941704,0.17488789237668162,446
INSECURITY,0.3492462311557789,0.0678391959798995,0.05025125628140704,0.32160804020100503,0.21105527638190955,398
SUSPICION,0.3799019607843137,0.056372549019607844,0.05392156862745098,0.2916666666666667,0.2181372549019608,408
AMAZEMENT,0.3236514522821577,0.058091286307053944,0.05394190871369295,0.2987551867219917,0.26556016597510373,241
ANGUISH,0.33136094674556216,0.06804733727810651,0.03254437869822485,0.3520710059171598,0.21597633136094674,338
OVERWHELMED,0.34545454545454546,0.07272727272727272,0.05757575757575758,0.34545454545454546,0.1787878787878788,330
AMUSEMENT,0.3633720930232558,0.061046511627906974,0.040697674418604654,0.3023255813953488,0.23255813953488372,344
